epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.50163,1.10636,2.64162,1.42644,0.6093,0.88723,0.88767,0.61465,1.40674,1.33606,1.26037,0,0,0
2,4.92121,1.02609,2.96846,1.35839,0.59516,0.89323,0.88785,0.62346,1.40702,1.35157,1.25601,1.17822e-06,1.17822e-06,1.17822e-06
3,7.34812,0.73168,3.06076,1.2426,0.59955,0.88005,0.88451,0.62255,1.43763,1.37476,1.27062,2.33288e-06,2.33288e-06,2.33288e-06
4,9.90158,1.41605,2.71921,1.94865,0.55635,0.83333,0.8708,0.60827,1.4503,1.40095,1.27745,3.46397e-06,3.46397e-06,3.46397e-06
5,12.4654,1.22051,3.49156,1.6876,0.57759,0.83333,0.87084,0.60952,1.46849,1.43106,1.28095,4.5715e-06,4.5715e-06,4.5715e-06
6,15.2026,1.08907,2.53528,1.38653,0.60575,0.68997,0.88473,0.59332,1.49149,1.48365,1.29474,5.65548e-06,5.65548e-06,5.65548e-06
7,17.5773,1.09027,2.61858,1.3874,0.83721,0.56667,0.87203,0.57771,1.50797,1.52687,1.30868,6.71588e-06,6.71588e-06,6.71588e-06
8,20.0097,0.92693,2.30291,1.27124,0.82249,0.56949,0.88595,0.57325,1.52279,1.57802,1.32855,7.75273e-06,7.75273e-06,7.75273e-06
9,22.4366,1.10385,3.49958,1.39465,0.81754,0.58007,0.88631,0.55891,1.54375,1.63228,1.33321,8.76602e-06,8.76602e-06,8.76602e-06
10,24.9959,0.98159,2.58195,1.21739,0.80559,0.58333,0.80321,0.55456,1.55319,1.68495,1.35039,9.75574e-06,9.75574e-06,9.75574e-06
11,27.4697,1.26278,2.8164,1.49988,0.78844,0.58333,0.76898,0.54211,1.56158,1.7176,1.3578,1.07219e-05,1.07219e-05,1.07219e-05
12,29.9136,0.88672,2.18682,1.31302,0.77506,0.58333,0.76381,0.54337,1.56222,1.76325,1.36348,1.16645e-05,1.16645e-05,1.16645e-05
