epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,184.037,1.02275,3.36136,1.40244,0.00676,0.87713,0.26313,0.18797,0.74728,3.74449,1.21245,0.00022725,0.00022725,0.00022725
2,363.227,0.99624,2.5597,1.40029,0.7446,0.30439,0.48655,0.32392,1.00815,3.18251,1.53864,0.000459,0.000459,0.000459
3,555.53,1.00023,2.0795,1.37911,0.41035,0.47639,0.49293,0.32301,1.02964,2.68079,1.52098,0.000686071,0.000686071,0.000686071
4,743.102,1.03659,2.01533,1.38193,0.56238,0.53262,0.58245,0.39011,1.11689,2.65986,1.6073,0.000882003,0.000882003,0.000882003
5,920.265,0.97265,1.84209,1.36424,0.58161,0.46859,0.54414,0.33341,1.26965,2.93342,1.72328,0.000873004,0.000873004,0.000873004
6,1095.3,0.97989,1.76315,1.35758,0.56936,0.62137,0.65508,0.40372,1.17949,2.50075,1.71122,0.000864004,0.000864004,0.000864004
7,1264.23,0.97486,1.71914,1.34364,0.67383,0.51788,0.62651,0.42808,1.03699,2.57238,1.51679,0.000855005,0.000855005,0.000855005
8,1430.36,0.95937,1.61119,1.32203,0.80107,0.65651,0.77168,0.52782,1.00744,1.969,1.47244,0.000846006,0.000846006,0.000846006
9,1608.07,0.94504,1.51351,1.31865,0.78795,0.603,0.71887,0.49279,0.99778,2.02331,1.49257,0.000837007,0.000837007,0.000837007
10,1772.88,0.94301,1.51234,1.30185,0.78297,0.65692,0.72039,0.50665,1.01466,1.86018,1.5274,0.000828008,0.000828008,0.000828008
11,1937.57,0.91747,1.43066,1.29133,0.80215,0.67946,0.78654,0.58422,0.95239,1.64404,1.40749,0.000819009,0.000819009,0.000819009
12,2102.12,0.93048,1.44723,1.30497,0.70849,0.76061,0.79875,0.54109,1.01108,1.87251,1.46885,0.00081001,0.00081001,0.00081001
13,2266.57,0.91097,1.34753,1.2788,0.70579,0.62008,0.69561,0.51885,0.95787,1.7623,1.40936,0.000801011,0.000801011,0.000801011
14,2430.19,0.8932,1.30959,1.28091,0.67849,0.74745,0.78199,0.54872,0.98507,1.665,1.37173,0.000792012,0.000792012,0.000792012
15,2593.35,0.88618,1.28921,1.25451,0.78151,0.80629,0.82744,0.6044,0.91355,1.46885,1.31711,0.000783013,0.000783013,0.000783013
16,2756.13,0.85917,1.21196,1.24358,0.77298,0.71387,0.80635,0.59507,1.00139,1.70951,1.413,0.000774013,0.000774013,0.000774013
17,2919.42,0.84146,1.21312,1.22376,0.85107,0.7005,0.78832,0.57752,0.98269,1.62079,1.41193,0.000765014,0.000765014,0.000765014
18,3081.93,0.84929,1.19327,1.23704,0.77519,0.61432,0.77216,0.5686,0.9756,1.56909,1.38368,0.000756015,0.000756015,0.000756015
19,3244.28,0.85913,1.17834,1.24023,0.81414,0.72028,0.82991,0.5911,0.97292,1.3235,1.36602,0.000747016,0.000747016,0.000747016
20,3419.55,0.84209,1.1653,1.24599,0.81447,0.76999,0.8124,0.60672,0.93704,1.46993,1.35798,0.000738017,0.000738017,0.000738017
21,3582,0.84007,1.14684,1.24169,0.79448,0.70138,0.78813,0.55348,1.00405,1.42118,1.39057,0.000729018,0.000729018,0.000729018
22,3744.38,0.82947,1.09293,1.21073,0.82822,0.66539,0.78604,0.5661,0.99262,1.42313,1.33949,0.000720019,0.000720019,0.000720019
23,3907.55,0.809,1.08285,1.22396,0.78598,0.78215,0.83018,0.58532,1.03497,1.24471,1.44117,0.00071102,0.00071102,0.00071102
24,4070.52,0.76565,0.98778,1.16869,0.79347,0.80075,0.83426,0.61843,0.93095,1.30609,1.33794,0.000702021,0.000702021,0.000702021
25,4233.14,0.7956,1.05993,1.18835,0.8736,0.67337,0.83424,0.59626,1.06997,1.31718,1.5189,0.000693022,0.000693022,0.000693022
26,4396,0.77276,0.97786,1.18436,0.78674,0.75144,0.80553,0.59604,0.94001,1.28639,1.33581,0.000684022,0.000684022,0.000684022
27,4558.21,0.75869,0.94981,1.16955,0.85061,0.84015,0.88426,0.66796,0.89236,1.05809,1.31872,0.000675023,0.000675023,0.000675023
28,4721.02,0.76842,0.91007,1.1686,0.81313,0.78988,0.85892,0.64621,0.93352,1.08432,1.33543,0.000666024,0.000666024,0.000666024
29,4892.88,0.76812,0.94161,1.18329,0.85856,0.73306,0.8505,0.61338,1.05658,1.24248,1.45243,0.000657025,0.000657025,0.000657025
30,5082.27,0.74564,0.87878,1.16376,0.79607,0.74112,0.81976,0.5949,0.96463,1.17138,1.37209,0.000648026,0.000648026,0.000648026
31,5261.02,0.7502,0.87555,1.1549,0.77744,0.80685,0.86395,0.66694,0.8351,1.09783,1.23622,0.000639027,0.000639027,0.000639027
32,5442.84,0.73667,0.8714,1.15025,0.86681,0.82371,0.87449,0.66133,0.9063,1.03657,1.31121,0.000630028,0.000630028,0.000630028
33,5617.22,0.73434,0.8615,1.14513,0.84781,0.81725,0.8906,0.6609,0.939,1.04598,1.33667,0.000621029,0.000621029,0.000621029
34,5780.9,0.71591,0.82036,1.12885,0.86405,0.73091,0.8527,0.64712,0.84575,1.0394,1.25425,0.00061203,0.00061203,0.00061203
35,5946.27,0.73524,0.86427,1.13922,0.85046,0.79897,0.86666,0.64521,0.87252,0.92086,1.27272,0.000603031,0.000603031,0.000603031
36,6115.81,0.72852,0.86767,1.15414,0.89336,0.79079,0.85655,0.64768,0.88796,1.0071,1.29417,0.000594031,0.000594031,0.000594031
37,6291.43,0.70408,0.84267,1.1441,0.91716,0.7324,0.85462,0.64804,0.8929,1.00679,1.31316,0.000585032,0.000585032,0.000585032
38,6461.32,0.71261,0.78176,1.12836,0.85061,0.77373,0.83533,0.65197,0.87918,1.00721,1.2952,0.000576033,0.000576033,0.000576033
39,6642.52,0.72304,0.81472,1.12831,0.88063,0.7669,0.83761,0.65376,0.86625,0.96575,1.26385,0.000567034,0.000567034,0.000567034
40,6832.71,0.70813,0.81193,1.13992,0.94756,0.74831,0.87323,0.67035,0.9099,0.96509,1.32198,0.000558035,0.000558035,0.000558035
41,7025.94,0.67466,0.76477,1.12148,0.86525,0.76848,0.86922,0.67052,0.90515,0.97851,1.29081,0.000549036,0.000549036,0.000549036
42,7200.74,0.69291,0.75843,1.12854,0.88773,0.78371,0.86777,0.6593,0.91674,1.01682,1.31128,0.000540037,0.000540037,0.000540037
